#system_time_sec,imu_time_usec,quat1,quat2,quat3,quat4,euler1,euler2,euler3
1543952286.158051,3831349588,-0.024827,0.839015,-0.020378,0.543159,0.007224,1.992305,-0.063843
1543952286.827591,3832349574,-0.024899,0.838852,-0.020429,0.543406,0.007214,1.991711,-0.064021
1543952287.844656,3833349559,-0.024871,0.838906,-0.020454,0.543323,0.007292,1.991906,-0.064001
1543952288.862163,3834349545,-0.024765,0.838740,-0.020316,0.543589,0.007156,1.991286,-0.063674
1543952289.878942,3835349531,-0.024798,0.838621,-0.020458,0.543765,0.007345,1.990853,-0.063887
1543952290.896050,3836349517,-0.024768,0.838496,-0.020371,0.543963,0.007216,1.990389,-0.063743
1543952291.913041,3837349502,-0.024408,0.838398,-0.019656,0.544156,0.006395,1.989989,-0.062361
1543952292.930065,3838349488,-0.024957,0.838766,-0.020114,0.543547,0.006611,1.991401,-0.063777
1543952293.947319,3839349474,-0.022468,0.835517,-0.019371,0.548663,0.007716,1.979259,-0.058837
1543952294.964164,3840349460,-0.029464,0.849858,-0.030074,0.525328,0.020162,2.033471,-0.081786
1543952295.981207,3841349445,-0.032098,0.863797,-0.035552,0.501557,0.029227,2.088129,-0.091281
1543952296.998227,3842349431,-0.030818,0.871797,-0.033145,0.487772,0.027730,2.120179,-0.086208
1543952298.015279,3843349417,-0.029344,0.876659,-0.030092,0.479272,0.024635,2.139985,-0.080405
1543952299.031943,3844349402,-0.027814,0.881811,-0.027511,0.469978,0.022377,2.161405,-0.075001
1543952300.049008,3845349388,-0.026769,0.890602,-0.027389,0.453168,0.024526,2.199323,-0.072591
1543952301.065763,3846349374,-0.028290,0.899298,-0.029440,0.435425,0.028318,2.238679,-0.076627
1543952302.082732,3847349360,-0.035151,0.902338,-0.033543,0.428283,0.030430,2.253883,-0.092341
1543952303.099698,3848349342,-0.034349,0.909984,-0.032432,0.411943,0.030731,2.290036,-0.089396
1543952304.116789,3849349328,-0.031603,0.913577,-0.028711,0.404418,0.026900,2.307010,-0.081084
