#system_time_sec,imu_time_usec,quat1,quat2,quat3,quat4,euler1,euler2,euler3
1543341305.483100,769382694,0.013448,-0.991685,0.020797,-0.126281,0.037861,2.887671,-0.031954
1543341306.156461,770382681,0.013320,-0.991715,0.020623,-0.126091,0.037555,2.888067,-0.031647
1543341307.174965,771382666,0.013368,-0.991716,0.020796,-0.126049,0.037885,2.888143,-0.031786
1543341308.193648,772382652,0.013510,-0.991731,0.021049,-0.125873,0.038358,2.888482,-0.032125
1543341309.212334,773382637,0.013450,-0.991757,0.020915,-0.125696,0.038114,2.888846,-0.031964
1543341310.230634,774382624,0.013347,-0.991772,0.020697,-0.125621,0.037709,2.889011,-0.031701
1543341311.248897,775382609,0.013449,-0.991797,0.021078,-0.125349,0.038447,2.889540,-0.031991
1543341312.267353,776382596,0.013427,-0.991791,0.020864,-0.125441,0.038026,2.889364,-0.031897
1543341313.286032,777382581,0.013457,-0.991821,0.020938,-0.125186,0.038173,2.889873,-0.031964
1543341314.304466,778382567,0.013338,-0.991811,0.020446,-0.125356,0.037221,2.889557,-0.031610
1543341315.323215,779382553,0.013401,-0.991780,0.020535,-0.125580,0.037376,2.889099,-0.031767
1543341316.341896,780382539,0.013282,-0.991769,0.020215,-0.125732,0.036765,2.888808,-0.031454
1543341317.360695,781382524,0.013274,-0.991752,0.020281,-0.125855,0.036895,2.888558,-0.031460
1543341318.379671,782382510,0.013363,-0.991786,0.020817,-0.125494,0.037947,2.889262,-0.031760
1543341319.398544,783382496,0.013379,-0.991797,0.020992,-0.125372,0.038294,2.889498,-0.031831
1543341320.417127,784382482,0.013359,-0.991796,0.020656,-0.125438,0.037629,2.889380,-0.031709
1543341321.435819,785382467,0.013381,-0.991809,0.020782,-0.125311,0.037878,2.889632,-0.031780
1543341322.454468,786382453,0.013427,-0.991830,0.020886,-0.125123,0.038080,2.890004,-0.031891
1543341323.472981,787382439,0.013324,-0.991810,0.020534,-0.125353,0.037401,2.889559,-0.031605
1543341324.491422,788382425,0.013186,-0.991806,0.020334,-0.125432,0.037036,2.889413,-0.031283
1543341325.510078,789382410,0.013376,-0.991796,0.020526,-0.125459,0.037367,2.889343,-0.031711
1543341326.528411,790382396,0.013265,-0.991772,0.020234,-0.125711,0.036809,2.888852,-0.031425
1543341327.547189,791382382,0.013405,-0.991804,0.020781,-0.125355,0.037869,2.889542,-0.031828
1543341328.565753,792382368,0.013257,-0.991795,0.020455,-0.125496,0.037255,2.889276,-0.031457
1543341329.584118,793382352,0.013472,-0.991812,0.020930,-0.125259,0.038152,2.889726,-0.031995
1543341330.602806,794382339,0.013415,-0.991810,0.020754,-0.125308,0.037816,2.889637,-0.031840
1543341331.621354,795382325,0.013316,-0.991826,0.020547,-0.125229,0.037431,2.889808,-0.031589
1543341332.639794,796382310,0.013344,-0.991846,0.020696,-0.125040,0.037727,2.890182,-0.031673
1543341333.658699,797382296,0.013404,-0.991833,0.020655,-0.125144,0.037626,2.889971,-0.031787
1543341334.677291,798382282,0.013421,-0.991857,0.020951,-0.124904,0.038218,2.890442,-0.031885
1543341335.695880,799382268,0.013347,-0.991865,0.020776,-0.124879,0.037889,2.890503,-0.031695
1543341336.714511,800382253,0.013316,-0.991850,0.020517,-0.125043,0.037379,2.890184,-0.031574
1543341337.733087,801382239,0.013289,-0.991843,0.020345,-0.125130,0.037041,2.890016,-0.031480
1543341338.751353,802382225,0.013279,-0.991823,0.020262,-0.125296,0.036873,2.889687,-0.031444
1543341339.769717,803382211,0.013330,-0.991818,0.020553,-0.125284,0.037439,2.889697,-0.031619
1543341340.787938,804382196,0.013341,-0.991834,0.020651,-0.125145,0.037634,2.889973,-0.031660
1543341341.806200,805382182,0.013314,-0.991815,0.020339,-0.125343,0.037016,2.889586,-0.031536
1543341342.824393,806382168,0.013278,-0.991807,0.020382,-0.125404,0.037109,2.889464,-0.031478
1543341343.843029,807382154,0.013319,-0.991826,0.020654,-0.125206,0.037643,2.889850,-0.031620
1543341344.861327,808382139,0.013418,-0.991831,0.020836,-0.125128,0.037983,2.889996,-0.031859
1543341345.879987,809382125,0.013472,-0.991847,0.020970,-0.124976,0.038240,2.890296,-0.031994
1543341346.898754,810382111,0.013428,-0.991843,0.020641,-0.125060,0.037596,2.890141,-0.031827
1543341347.917201,811382097,0.013423,-0.991842,0.020691,-0.125062,0.037696,2.890136,-0.031830
1543341348.935705,812382082,0.013414,-0.991850,0.020805,-0.124980,0.037927,2.890295,-0.031838
1543341349.954484,813382068,0.013405,-0.991867,0.020649,-0.124877,0.037622,2.890510,-0.031776
1543341350.972857,814382054,0.013396,-0.991862,0.020609,-0.124921,0.037544,2.890423,-0.031750
1543341351.991617,815382040,0.013446,-0.991889,0.021026,-0.124629,0.038369,2.890993,-0.031944
1543341353.010292,816382025,0.013357,-0.991922,0.020884,-0.124402,0.038117,2.891460,-0.031723
1543341354.028822,817382011,0.013410,-0.991926,0.020751,-0.124384,0.037840,2.891500,-0.031793
1543341355.047442,818381997,0.013389,-0.991929,0.020628,-0.124382,0.037602,2.891510,-0.031721
1543341356.065803,819381983,0.013366,-0.991917,0.020680,-0.124478,0.037707,2.891315,-0.031692
1543341357.084226,820381968,0.013382,-0.991930,0.020619,-0.124377,0.037586,2.891521,-0.031704
1543341358.103057,821381954,0.013397,-0.991921,0.020642,-0.124443,0.037625,2.891387,-0.031743
1543341359.121521,822381939,0.013423,-0.991951,0.020891,-0.124166,0.038122,2.891934,-0.031846
