#system_time_sec,imu_time_usec,quat1,quat2,quat3,quat4,euler1,euler2,euler3
1543341381.620929,1114818235,0.327140,0.649975,0.377060,0.573008,-0.115509,1.630202,1.041443
1543341382.646640,1115818221,0.327181,0.649962,0.377058,0.573001,-0.115452,1.630222,1.041506
1543341383.656357,1116818207,0.327213,0.649961,0.377055,0.572985,-0.115423,1.630263,1.041551
1543341384.682140,1117818193,0.327241,0.649963,0.377099,0.572938,-0.115479,1.630305,1.041668
1543341385.692064,1118818178,0.327230,0.649949,0.377075,0.572975,-0.115426,1.630254,1.041613
1543341386.717684,1119818164,0.327189,0.650005,0.377027,0.572967,-0.115458,1.630346,1.041463
1543341387.727468,1120818150,0.327184,0.649969,0.377065,0.572986,-0.115474,1.630244,1.041521
1543341388.753196,1121818136,0.327180,0.649946,0.377067,0.573013,-0.115446,1.630179,1.041521
1543341389.763056,1122818121,0.327164,0.649982,0.377076,0.572975,-0.115528,1.630254,1.041507
1543341390.788716,1123818107,0.327113,0.649987,0.377029,0.573029,-0.115495,1.630200,1.041348
1543341391.798571,1124818093,0.327149,0.649968,0.377068,0.573005,-0.115505,1.630197,1.041470
1543341392.808327,1125818079,0.327130,0.649958,0.377022,0.573058,-0.115424,1.630145,1.041366
1543341393.834093,1126818064,0.327166,0.649966,0.377076,0.572992,-0.115503,1.630215,1.041512
1543341394.843888,1127818050,0.327153,0.649977,0.377017,0.573026,-0.115427,1.630226,1.041393
1543341395.869688,1128818036,0.327153,0.649976,0.376989,0.573045,-0.115376,1.630222,1.041347
1543341396.879459,1129818022,0.327226,0.649962,0.377092,0.572953,-0.115477,1.630282,1.041632
1543341397.905306,1130818007,0.327138,0.649998,0.376997,0.573024,-0.115436,1.630260,1.041334
1543341398.915159,1131817993,0.327097,0.649973,0.376994,0.573078,-0.115424,1.630140,1.041267
1543341399.940733,1132817979,0.327114,0.649985,0.377046,0.573020,-0.115520,1.630196,1.041378
1543341400.950554,1133817965,0.327210,0.649969,0.377076,0.572964,-0.115473,1.630280,1.041581
1543341401.976286,1134817950,0.327067,0.650011,0.377003,0.573046,-0.115520,1.630201,1.041231
1543341402.986172,1135817936,0.327117,0.649951,0.377018,0.573075,-0.115418,1.630111,1.041342
1543341404.011811,1136817922,0.327194,0.649955,0.377055,0.573003,-0.115427,1.630220,1.041521
1543341405.021840,1137817908,0.327107,0.650007,0.377080,0.572977,-0.115617,1.630243,1.041421
1543341406.031491,1138817893,0.327168,0.650009,0.377073,0.572944,-0.115561,1.630330,1.041506
1543341407.057117,1139817879,0.327217,0.649945,0.377070,0.572991,-0.115422,1.630224,1.041584
1543341408.066903,1140817865,0.327100,0.649993,0.377056,0.573013,-0.115559,1.630197,1.041371
1543341409.092701,1141817850,0.327177,0.649977,0.377035,0.573001,-0.115439,1.630256,1.041461
1543341410.102430,1142817836,0.327214,0.650000,0.377075,0.572928,-0.115514,1.630365,1.041581
1543341411.128349,1143817822,0.327232,0.649959,0.377027,0.572995,-0.115356,1.630282,1.041536
1543341412.138227,1144817808,0.327209,0.649975,0.377062,0.572968,-0.115457,1.630293,1.041554
1543341413.163726,1145817793,0.327183,0.649916,0.377088,0.573031,-0.115435,1.630104,1.041564
1543341414.173546,1146817779,0.327236,0.649993,0.377094,0.572910,-0.115519,1.630377,1.041648
1543341415.199252,1147817765,0.327035,0.650031,0.377014,0.573034,-0.115594,1.630212,1.041196
1543341416.209150,1148817751,0.327152,0.649966,0.377043,0.573022,-0.115456,1.630194,1.041436
1543341417.234873,1149817736,0.327094,0.650000,0.377033,0.573023,-0.115535,1.630207,1.041324
1543341418.244725,1150817722,0.327170,0.649999,0.377082,0.572949,-0.115560,1.630305,1.041524
1543341419.254500,1151817708,0.327225,0.649950,0.377065,0.572983,-0.115415,1.630250,1.041589
1543341420.280253,1152817694,0.327196,0.649968,0.377031,0.573003,-0.115404,1.630258,1.041485
1543341421.290015,1153817679,0.327143,0.649966,0.377066,0.573012,-0.115502,1.630183,1.041459
1543341422.316008,1154817665,0.327049,0.650025,0.377034,0.573020,-0.115610,1.630215,1.041253
1543341423.325570,1155817651,0.327177,0.649982,0.377047,0.572987,-0.115468,1.630270,1.041480
1543341424.351409,1156817637,0.327121,0.649981,0.377094,0.572989,-0.115591,1.630194,1.041467
1543341425.361156,1157817622,0.327206,0.649971,0.377137,0.572924,-0.115584,1.630279,1.041674
1543341426.386930,1158817608,0.327170,0.649978,0.377147,0.572930,-0.115641,1.630251,1.041633
1543341427.396780,1159817594,0.327156,0.649993,0.377121,0.572938,-0.115630,1.630273,1.041566
1543341428.406426,1160817580,0.327222,0.649966,0.377133,0.572923,-0.115559,1.630288,1.041693
1543341429.432334,1161817565,0.327206,0.649982,0.377095,0.572939,-0.115528,1.630309,1.041604
1543341430.441969,1162817551,0.327277,0.649938,0.377136,0.572922,-0.115478,1.630286,1.041787
1543341431.468038,1163817537,0.327180,0.650009,0.377169,0.572874,-0.115718,1.630346,1.041682
1543341432.477545,1164817523,0.327160,0.649986,0.377103,0.572955,-0.115584,1.630259,1.041544
1543341433.503421,1165817508,0.327191,0.649960,0.377086,0.572979,-0.115491,1.630230,1.041568
1543341434.513047,1166817494,0.327141,0.649984,0.377063,0.572995,-0.115526,1.630226,1.041448
1543341435.538856,1167817480,0.327139,0.649986,0.377089,0.572977,-0.115576,1.630230,1.041488
1543341436.548620,1168817465,0.327201,0.649976,0.377122,0.572931,-0.115571,1.630286,1.041640
1543341437.574256,1169817451,0.327188,0.649970,0.377136,0.572936,-0.115596,1.630252,1.041644
1543341438.584225,1170817437,0.327252,0.649979,0.377108,0.572907,-0.115511,1.630362,1.041699
1543341439.609922,1171817423,0.327176,0.649956,0.377123,0.572967,-0.115562,1.630201,1.041605
1543341440.619695,1172817408,0.327186,0.649979,0.377114,0.572941,-0.115573,1.630275,1.041604
1543341441.645362,1173817394,0.327199,0.649966,0.377124,0.572942,-0.115560,1.630257,1.041641
1543341442.655242,1174817380,0.327229,0.649988,0.377141,0.572889,-0.115599,1.630354,1.041715
1543341443.665112,1175817366,0.327088,0.650003,0.377069,0.573000,-0.115607,1.630207,1.041373
1543341444.690817,1176817351,0.327145,0.649994,0.377141,0.572929,-0.115675,1.630262,1.041582
1543341445.700675,1177817337,0.327122,0.650025,0.377066,0.572958,-0.115607,1.630310,1.041419
1543341446.726385,1178817323,0.327234,0.649997,0.377101,0.572902,-0.115540,1.630386,1.041657
1543341447.736355,1179817309,0.327211,0.649972,0.377078,0.572958,-0.115481,1.630289,1.041585
1543341448.761948,1180817294,0.327156,0.649990,0.377120,0.572942,-0.115624,1.630265,1.041564
1543341449.771831,1181817280,0.327149,0.649975,0.377140,0.572951,-0.115640,1.630215,1.041587
1543341450.797690,1182817266,0.327286,0.649924,0.377221,0.572875,-0.115599,1.630264,1.041944
1543341451.807245,1183817252,0.327190,0.649965,0.377123,0.572948,-0.115564,1.630245,1.041626
1543341452.832922,1184817237,0.327168,0.650006,0.377161,0.572890,-0.115710,1.630322,1.041649
1543341453.842802,1185817223,0.327193,0.649940,0.377144,0.572962,-0.115561,1.630181,1.041669
1543341454.852696,1186817209,0.327177,0.650013,0.377096,0.572919,-0.115599,1.630353,1.041557
1543341455.878342,1187817195,0.327111,0.649999,0.377064,0.572994,-0.115574,1.630228,1.041402
1543341456.888129,1188817180,0.327171,0.650004,0.377062,0.572955,-0.115532,1.630321,1.041493
1543341457.914190,1189817166,0.327223,0.649980,0.377123,0.572912,-0.115562,1.630327,1.041678
1543341458.923656,1190817152,0.327135,0.650009,0.377095,0.572949,-0.115624,1.630287,1.041488
1543341459.949450,1191817138,0.327192,0.649975,0.377131,0.572932,-0.115590,1.630271,1.041641
1543341460.959193,1192817123,0.327198,0.649981,0.377120,0.572928,-0.115577,1.630296,1.041632
1543341461.984941,1193817109,0.327196,0.649968,0.377143,0.572929,-0.115599,1.630260,1.041668
1543341462.994772,1194817095,0.327228,0.649959,0.377147,0.572919,-0.115566,1.630277,1.041726
1543341464.020547,1195817081,0.327213,0.649961,0.377166,0.572912,-0.115614,1.630263,1.041734
1543341465.030311,1196817066,0.327184,0.649996,0.377009,0.572992,-0.115417,1.630315,1.041426
1543341466.056032,1197817052,0.327180,0.649989,0.377144,0.572913,-0.115645,1.630295,1.041643
1543341467.065918,1198817038,0.327100,0.650017,0.377046,0.572992,-0.115578,1.630260,1.041353
1543341468.075639,1199817023,0.327137,0.649988,0.377032,0.573013,-0.115482,1.630232,1.041391
1543341469.101429,1200817009,0.327227,0.649962,0.377139,0.572920,-0.115559,1.630284,1.041713
1543341470.111205,1201816995,0.327205,0.649993,0.377127,0.572906,-0.115602,1.630336,1.041655
1543341471.137112,1202816981,0.327217,0.649940,0.377128,0.572959,-0.115514,1.630212,1.041680
1543341472.146770,1203816966,0.327183,0.649990,0.377063,0.572964,-0.115504,1.630300,1.041515
1543341473.172774,1204816952,0.327201,0.649971,0.377141,0.572924,-0.115596,1.630273,1.041673
1543341474.182369,1205816938,0.327205,0.649966,0.377135,0.572931,-0.115575,1.630266,1.041670
1543341475.208047,1206816924,0.327199,0.649975,0.377111,0.572940,-0.115552,1.630281,1.041619
1543341476.217833,1207816909,0.327167,0.649998,0.377084,0.572950,-0.115565,1.630298,1.041523
1543341477.243622,1208816895,0.327213,0.649961,0.377090,0.572962,-0.115482,1.630262,1.041609
1543341478.253366,1209816881,0.327190,0.649982,0.377091,0.572950,-0.115534,1.630289,1.041572
1543341479.279263,1210816867,0.327214,0.649966,0.377152,0.572915,-0.115597,1.630277,1.041712
1543341480.288904,1211816852,0.327209,0.650001,0.377174,0.572863,-0.115693,1.630365,1.041738
1543341481.314588,1212816838,0.327181,0.649989,0.377150,0.572909,-0.115655,1.630296,1.041654
1543341482.324437,1213816824,0.327116,0.649987,0.377121,0.572967,-0.115652,1.630204,1.041505
1543341483.350241,1214816810,0.327265,0.649953,0.377144,0.572906,-0.115524,1.630310,1.041781
1543341484.360456,1215816795,0.327185,0.649981,0.377082,0.572960,-0.115522,1.630279,1.041550
1543341485.385671,1216816781,0.327213,0.649963,0.377113,0.572944,-0.115526,1.630269,1.041646
1543341486.395610,1217816767,0.327178,0.649977,0.377057,0.572986,-0.115476,1.630257,1.041497
1543341487.405394,1218816753,0.327158,0.649983,0.377116,0.572951,-0.115604,1.630249,1.041564
1543341488.431030,1219816738,0.327124,0.649980,0.377048,0.573018,-0.115508,1.630196,1.041399
1543341489.440784,1220816724,0.327242,0.649965,0.377075,0.572951,-0.115440,1.630312,1.041629
1543341490.466562,1221816710,0.327141,0.649954,0.377050,0.573037,-0.115460,1.630150,1.041431
1543341491.476352,1222816696,0.327211,0.649962,0.377133,0.572934,-0.115562,1.630263,1.041676
1543341492.502114,1223816681,0.327242,0.649967,0.377067,0.572954,-0.115429,1.630315,1.041616
1543341493.512000,1224816667,0.327178,0.649982,0.377121,0.572938,-0.115596,1.630272,1.041603
1543341494.537560,1225816653,0.327106,0.650006,0.377002,0.573030,-0.115480,1.630240,1.041292
1543341495.547437,1226816638,0.327143,0.650001,0.377042,0.572988,-0.115515,1.630275,1.041415
1543341496.573239,1227816624,0.327311,0.649930,0.377174,0.572885,-0.115507,1.630313,1.041905
1543341497.583050,1228816610,0.327159,0.649972,0.377107,0.572969,-0.115570,1.630220,1.041550
1543341498.608718,1229816596,0.327188,0.649963,0.377150,0.572934,-0.115610,1.630236,1.041669
1543341499.618595,1230816581,0.327197,0.649986,0.377111,0.572929,-0.115570,1.630308,1.041616
1543341500.628597,1231816567,0.327216,0.649930,0.377106,0.572985,-0.115463,1.630185,1.041643
1543341501.654133,1232816553,0.327179,0.649977,0.377169,0.572911,-0.115672,1.630260,1.041684
1543341502.663852,1233816539,0.327328,0.649932,0.377220,0.572843,-0.115578,1.630340,1.042007
1543341503.689663,1234816524,0.327193,0.649971,0.377084,0.572966,-0.115503,1.630263,1.041566
1543341504.699387,1235816510,0.327153,0.649995,0.377146,0.572921,-0.115677,1.630273,1.041603
1543341505.725196,1236816496,0.327146,0.650001,0.377112,0.572941,-0.115632,1.630280,1.041535
1543341506.734981,1237816482,0.327201,0.649995,0.377099,0.572924,-0.115558,1.630337,1.041601
1543341507.760798,1238816467,0.327215,0.650005,0.377074,0.572921,-0.115520,1.630381,1.041581
1543341508.770556,1239816453,0.327057,0.649993,0.377077,0.573023,-0.115629,1.630142,1.041339
1543341509.796237,1240816439,0.327192,0.649969,0.377082,0.572969,-0.115498,1.630257,1.041562
1543341510.806366,1241816425,0.327193,0.649990,0.377106,0.572930,-0.115569,1.630312,1.041600
1543341511.831831,1242816410,0.327160,0.649963,0.377057,0.573012,-0.115469,1.630197,1.041471
1543341512.841627,1243816396,0.327184,0.649943,0.377114,0.572983,-0.115521,1.630177,1.041605
1543341513.867346,1244816382,0.327197,0.649976,0.377121,0.572934,-0.115572,1.630282,1.041632
1543341514.877269,1245816368,0.327218,0.649956,0.377117,0.572947,-0.115519,1.630257,1.041663
1543341515.886884,1246816353,0.327195,0.649961,0.377080,0.572979,-0.115479,1.630238,1.041564
1543341516.912823,1247816339,0.327228,0.649982,0.377144,0.572893,-0.115598,1.630339,1.041720
1543341517.922446,1248816325,0.327126,0.649978,0.377001,0.573050,-0.115421,1.630193,1.041324
1543341518.948218,1249816311,0.327151,0.649995,0.377004,0.573015,-0.115433,1.630269,1.041367
1543341519.958077,1250816296,0.327213,0.649955,0.377127,0.572944,-0.115539,1.630248,1.041670
1543341520.983716,1251816282,0.327202,0.649926,0.377162,0.572960,-0.115565,1.630157,1.041714
1543341521.993630,1252816268,0.327182,0.649974,0.377099,0.572958,-0.115543,1.630257,1.041574
1543341523.019518,1253816253,0.327217,0.649964,0.377095,0.572953,-0.115493,1.630276,1.041622
1543341524.029089,1254816239,0.327169,0.649979,0.377065,0.572983,-0.115500,1.630254,1.041497
1543341525.054819,1255816225,0.327293,0.649962,0.377070,0.572929,-0.115387,1.630369,1.041703
1543341526.064659,1256816211,0.327325,0.649917,0.377158,0.572903,-0.115448,1.630295,1.041901
1543341527.090388,1257816196,0.327183,0.650001,0.377069,0.572948,-0.115528,1.630327,1.041523
1543341528.100211,1258816182,0.327199,0.649970,0.377096,0.572956,-0.115518,1.630269,1.041595
1543341529.125911,1259816168,0.327148,0.649966,0.377135,0.572963,-0.115621,1.630192,1.041580
1543341530.135777,1260816154,0.327160,0.649999,0.377078,0.572957,-0.115560,1.630292,1.041502
1543341531.161469,1261816139,0.327259,0.649958,0.377144,0.572904,-0.115537,1.630317,1.041770
1543341532.171321,1262816125,0.327134,0.649988,0.377076,0.572986,-0.115560,1.630230,1.041458
1543341533.181044,1263816111,0.327101,0.649982,0.377068,0.573017,-0.115563,1.630171,1.041393
1543341534.206889,1264816097,0.327154,0.649969,0.377076,0.572997,-0.115516,1.630204,1.041491
1543341535.216743,1265816082,0.327165,0.649969,0.377099,0.572975,-0.115548,1.630221,1.041546
1543341536.242414,1266816068,0.327143,0.650007,0.377036,0.572986,-0.115512,1.630290,1.041404
1543341537.252564,1267816054,0.327106,0.649958,0.377026,0.573069,-0.115450,1.630113,1.041335
1543341538.278001,1268816040,0.327195,0.649986,0.377058,0.572965,-0.115480,1.630305,1.041525
1543341539.287721,1269816025,0.327176,0.649984,0.377087,0.572959,-0.115541,1.630273,1.041543
1543341540.313551,1270816011,0.327218,0.649954,0.377068,0.572982,-0.115429,1.630250,1.041582
1543341541.323220,1271815997,0.327166,0.649959,0.377091,0.572990,-0.115519,1.630196,1.041537
1543341542.349367,1272815983,0.327131,0.649994,0.377123,0.572950,-0.115653,1.630242,1.041530
1543341543.358788,1273815968,0.327126,0.650003,0.377053,0.572988,-0.115549,1.630259,1.041407
1543341544.384729,1274815954,0.327162,0.649987,0.377068,0.572977,-0.115523,1.630262,1.041489
1543341545.394501,1275815940,0.327161,0.649995,0.377108,0.572941,-0.115607,1.630283,1.041553
1543341546.404139,1276815926,0.327171,0.649989,0.377052,0.572979,-0.115493,1.630281,1.041478
1543341547.429933,1277815911,0.327248,0.649932,0.377100,0.572969,-0.115428,1.630232,1.041684
1543341548.439744,1278815897,0.327264,0.649961,0.377062,0.572950,-0.115396,1.630331,1.041645
1543341549.465509,1279815883,0.327147,0.649995,0.377047,0.572989,-0.115510,1.630265,1.041431
1543341550.475394,1280815869,0.327101,0.649989,0.377039,0.573028,-0.115524,1.630188,1.041346
1543341551.501025,1281815854,0.327207,0.649991,0.377100,0.572924,-0.115552,1.630335,1.041613
1543341552.510804,1282815840,0.327147,0.649987,0.377071,0.572983,-0.115540,1.630243,1.041470
1543341553.536508,1283815826,0.327139,0.649955,0.377037,0.573046,-0.115439,1.630148,1.041406
1543341554.546331,1284815811,0.327123,0.649967,0.377061,0.573026,-0.115511,1.630160,1.041418
1543341555.556166,1285815797,0.327168,0.649961,0.377087,0.572990,-0.115512,1.630203,1.041532
1543341556.581897,1286815783,0.327176,0.649985,0.377070,0.572969,-0.115513,1.630277,1.041515
