#system_time_sec,imu_time_usec,quat1,quat2,quat3,quat4,euler1,euler2,euler3
1543952190.659929,3737835421,0.003218,-0.601149,0.045760,-0.797819,0.049903,1.289539,-0.077058
1543952191.327698,3738835407,0.003146,-0.601159,0.045710,-0.797815,0.049959,1.289562,-0.076890
1543952192.344056,3739835392,0.003161,-0.601139,0.045734,-0.797828,0.049962,1.289513,-0.076949
1543952193.360544,3740835378,0.003167,-0.601134,0.045698,-0.797834,0.049908,1.289500,-0.076899
1543952194.377269,3741835364,0.003093,-0.601150,0.045734,-0.797820,0.050072,1.289537,-0.076865
1543952195.394098,3742835349,0.003162,-0.601125,0.045740,-0.797839,0.049966,1.289476,-0.076961
1543952196.410602,3743835335,0.003144,-0.601158,0.045743,-0.797814,0.050002,1.289558,-0.076941
1543952197.427196,3744835321,0.003189,-0.601161,0.045686,-0.797814,0.049863,1.289570,-0.076904
1543952198.443615,3745835307,0.003189,-0.601151,0.045743,-0.797819,0.049930,1.289543,-0.076995
1543952199.460117,3746835292,0.003254,-0.601141,0.045708,-0.797828,0.049783,1.289521,-0.077018
1543952200.476632,3747835278,0.003170,-0.601135,0.045736,-0.797831,0.049950,1.289503,-0.076962
1543952201.493454,3748835264,0.003180,-0.601133,0.045768,-0.797831,0.049973,1.289497,-0.077025
1543952202.510246,3749835250,0.003189,-0.601152,0.045684,-0.797821,0.049859,1.289546,-0.076901
1543952203.526576,3750835235,0.003141,-0.601141,0.045725,-0.797827,0.049985,1.289517,-0.076910
1543952204.543368,3751835221,0.003157,-0.601134,0.045721,-0.797833,0.049952,1.289498,-0.076924
1543952205.559796,3752835207,0.003115,-0.601137,0.045707,-0.797832,0.050003,1.289505,-0.076849
1543952206.576606,3753835193,0.003234,-0.601133,0.045710,-0.797834,0.049815,1.289499,-0.076998
1543952207.593090,3754835178,0.003197,-0.601127,0.045700,-0.797839,0.049862,1.289484,-0.076937
1543952208.609870,3755835164,0.003161,-0.601129,0.045689,-0.797839,0.049906,1.289486,-0.076876
1543952209.626392,3756835150,0.003172,-0.601126,0.045737,-0.797838,0.049946,1.289479,-0.076966
1543952210.642849,3757835136,0.003119,-0.601146,0.045717,-0.797824,0.050010,1.289527,-0.076870
1543952211.659464,3758835121,0.003157,-0.601127,0.045735,-0.797837,0.049968,1.289482,-0.076945
1543952212.676135,3759835107,0.003143,-0.601158,0.045742,-0.797814,0.050001,1.289558,-0.076937
1543952213.692944,3760835093,0.003141,-0.601130,0.045701,-0.797837,0.049953,1.289488,-0.076872
1543952214.709671,3761835079,0.003163,-0.601133,0.045749,-0.797832,0.049977,1.289497,-0.076974
1543952215.726381,3762835064,0.003202,-0.601142,0.045781,-0.797824,0.049952,1.289519,-0.077072
1543952216.743006,3763835050,0.003161,-0.601127,0.045678,-0.797840,0.049893,1.289483,-0.076859
1543952217.759684,3764835036,0.003078,-0.601155,0.045722,-0.797818,0.050080,1.289549,-0.076828
1543952218.776488,3765835022,0.003133,-0.601144,0.045691,-0.797828,0.049956,1.289523,-0.076845
1543952219.793558,3766835007,0.003179,-0.601143,0.045760,-0.797824,0.049965,1.289522,-0.077012
1543952220.810271,3767834993,0.003205,-0.601114,0.045646,-0.797852,0.049783,1.289452,-0.076862
1543952221.827143,3768834979,0.003196,-0.601152,0.045753,-0.797817,0.049930,1.289546,-0.077019
1543952222.843918,3769834965,0.003185,-0.601162,0.045731,-0.797811,0.049922,1.289570,-0.076970
1543952223.860560,3770834950,0.003190,-0.601140,0.045718,-0.797828,0.049896,1.289516,-0.076957
1543952224.877105,3771834936,0.003188,-0.601128,0.045727,-0.797837,0.049909,1.289486,-0.076969
1543952225.893925,3772834922,0.003234,-0.601154,0.045714,-0.797818,0.049822,1.289551,-0.077004
1543952226.910786,3773834907,0.003187,-0.601138,0.045693,-0.797831,0.049870,1.289512,-0.076913
1543952227.927491,3774834893,0.003254,-0.601164,0.045721,-0.797810,0.049800,1.289578,-0.077038
1543952228.944259,3775834879,0.003233,-0.601127,0.045734,-0.797837,0.049846,1.289483,-0.077037
1543952229.961073,3776834865,0.003256,-0.601136,0.045799,-0.797827,0.049888,1.289506,-0.077166
1543952230.977746,3777834850,0.003418,-0.601135,0.045792,-0.797827,0.049621,1.289510,-0.077349
1543952231.994647,3778834836,0.003493,-0.601131,0.045680,-0.797836,0.049365,1.289505,-0.077261
1543952233.011165,3779834822,0.003447,-0.601146,0.045713,-0.797823,0.049480,1.289540,-0.077257
1543952234.027982,3780834808,0.003504,-0.601137,0.045813,-0.797824,0.049509,1.289519,-0.077487
1543952235.044706,3781834793,0.003447,-0.601137,0.045815,-0.797824,0.049602,1.289517,-0.077421
1543952236.061280,3782834779,0.003423,-0.601145,0.045776,-0.797820,0.049595,1.289536,-0.077329
1543952237.077650,3783834765,0.003471,-0.601112,0.045727,-0.797848,0.049455,1.289456,-0.077310
1543952238.094156,3784834751,0.003422,-0.601130,0.045659,-0.797838,0.049454,1.289501,-0.077141
1543952239.110772,3785834736,0.003532,-0.601114,0.045714,-0.797847,0.049343,1.289462,-0.077362
1543952240.127492,3786834722,0.003416,-0.601157,0.045612,-0.797820,0.049410,1.289569,-0.077057
1543952241.143835,3787834708,0.003442,-0.601135,0.045680,-0.797834,0.049447,1.289512,-0.077199
1543952242.160686,3788834694,0.003501,-0.601135,0.045695,-0.797832,0.049371,1.289514,-0.077293
1543952243.176945,3789834679,0.003457,-0.601124,0.045662,-0.797843,0.049401,1.289486,-0.077190
