#system_time_sec,imu_time_usec,quat1,quat2,quat3,quat4,euler1,euler2,euler3
1543952355.865861,3900319303,0.005330,-0.601079,0.046563,-0.797814,0.047490,1.289435,-0.080884
1543952356.532563,3901319289,0.005264,-0.601058,0.046546,-0.797832,0.047572,1.289378,-0.080778
1543952357.549058,3902319275,0.005265,-0.601062,0.046494,-0.797831,0.047509,1.289391,-0.080696
1543952358.565912,3903319261,0.005267,-0.601052,0.046583,-0.797834,0.047612,1.289365,-0.080842
1543952359.582587,3904319246,0.005201,-0.601075,0.046623,-0.797815,0.047767,1.289417,-0.080827
1543952360.598494,3905319232,0.005232,-0.601099,0.046582,-0.797799,0.047671,1.289479,-0.080796
1543952361.615115,3906319218,0.005262,-0.601061,0.046613,-0.797826,0.047656,1.289384,-0.080883
1543952362.631703,3907319204,0.005248,-0.601080,0.046622,-0.797811,0.047692,1.289432,-0.080879
1543952363.648332,3908319189,0.005205,-0.601067,0.046600,-0.797822,0.047733,1.289398,-0.080794
1543952364.664957,3909319175,0.005288,-0.601055,0.046577,-0.797831,0.047571,1.289373,-0.080858
1543952365.682618,3910319161,0.005321,-0.601060,0.046618,-0.797826,0.047568,1.289385,-0.080962
1543952366.698982,3911319147,0.005280,-0.601056,0.046541,-0.797833,0.047540,1.289376,-0.080790
1543952367.715622,3912319132,0.005355,-0.601063,0.046438,-0.797833,0.047298,1.289398,-0.080714
1543952368.732380,3913319118,0.005301,-0.601026,0.046580,-0.797853,0.047552,1.289300,-0.080880
1543952369.749229,3914319104,0.005255,-0.601055,0.046590,-0.797831,0.047640,1.289369,-0.080839
1543952370.765769,3915319090,0.005299,-0.601039,0.046586,-0.797844,0.047562,1.289331,-0.080886
1543952371.782506,3916319075,0.005407,-0.601132,0.046425,-0.797782,0.047206,1.289572,-0.080752
1543952372.799073,3917319060,0.011793,-0.598393,0.014995,-0.800975,-0.000947,1.283278,-0.038144
1543952373.815510,3918319047,0.012134,-0.601105,0.011745,-0.798992,-0.005270,1.290069,-0.033364
1543952374.832200,3919319033,0.011005,-0.622556,0.045724,-0.781161,0.039749,1.344075,-0.085309
1543952375.848956,3920319018,0.009901,-0.626593,0.044267,-0.778025,0.040079,1.354373,-0.081445
1543952376.865718,3921319005,0.006927,-0.597256,0.038333,-0.801104,0.034698,1.280071,-0.069791
1543952377.882625,3922318990,0.008142,-0.606650,0.040142,-0.793913,0.035784,1.303641,-0.073730
1543952378.899448,3923318975,0.027936,-0.586805,-0.008097,-0.809206,-0.054742,1.255368,-0.019713
1543952379.916297,3924319005,0.347181,-0.515801,-0.276973,-0.732598,-0.918043,1.188064,0.083160
1543952380.932951,3925318885,0.540626,-0.355554,-0.385645,-0.657710,-1.399624,0.000000,1.234811
1543952381.949718,3926318877,0.647010,-0.272671,-0.339988,-0.625649,-1.470875,0.000000,1.816681
1543952382.966373,3927318863,0.611047,-0.232620,-0.196119,-0.730785,-1.393534,0.000000,0.852253
1543952383.983000,3928318955,0.297804,-0.326087,-0.107989,-0.890684,-0.644659,0.702680,-0.002335
1543952384.999650,3929318898,-0.077935,-0.464701,-0.008773,-0.881987,0.129685,0.975607,0.088770
1543952386.016380,3930318930,-0.404382,-0.453646,0.259308,-0.750626,1.001624,1.064481,-0.045678
1543952387.033068,3931318912,-0.421567,-0.423001,0.303596,-0.742415,1.081786,0.914320,-0.233023
1543952388.049934,3932318897,-0.216619,-0.520231,0.147755,-0.812775,0.530378,1.134063,-0.017200
1543952389.066306,3933318833,-0.135670,-0.594604,0.083574,-0.788071,0.318584,1.297768,0.031193
1543952390.082991,3934318852,-0.479634,-0.523096,-0.359420,-0.605920,0.206686,1.578312,1.279016
1543952391.099886,3935318837,-0.585543,-0.578909,-0.391286,-0.410973,0.028250,1.934925,1.562725
1543952392.115832,3936318812,-0.096328,-0.755425,-0.066746,-0.644670,0.023359,1.731421,0.233782
1543952393.132236,3937318775,0.143319,-0.620202,0.093814,-0.765512,-0.103241,1.378989,-0.329030
1543952394.148567,3938318776,0.436625,-0.401773,0.563107,-0.575193,-0.049826,1.270041,-1.586278
1543952395.165350,3939318758,0.481983,-0.516026,0.430717,-0.562042,-0.097421,1.567964,-1.404904
1543952396.181847,3940318733,0.046616,-0.620683,0.073564,-0.779210,0.018674,1.343649,-0.173410
1543952397.198176,3941318741,0.027624,-0.728716,0.012175,-0.684151,-0.020056,1.634431,-0.056962
1543952398.214485,3942318732,-0.227237,-0.508971,-0.105467,-0.823522,0.270186,1.167039,0.433761
1543952399.231160,3943318698,-0.079934,-0.470402,0.163160,-0.863546,0.295851,0.965016,-0.217705
1543952400.247749,3944318676,0.039796,-0.598505,-0.002456,-0.800126,-0.066674,1.285918,-0.043818
1543952401.264319,3945318662,-0.009956,-0.684148,-0.012385,-0.729170,-0.002428,1.507069,0.031690
1543952402.281131,3946318648,0.037135,-0.591427,-0.044971,-0.804247,-0.113166,1.266537,0.028597
1543952403.297992,3947318681,0.335594,-0.364709,-0.144742,-0.856395,-0.748281,0.803534,0.004338
1543952404.314684,3948318623,0.203106,-0.245802,-0.158039,-0.934534,-0.474969,0.460524,0.221966
1543952405.331561,3949318613,-0.022981,-0.555183,-0.102511,-0.825067,-0.075976,1.177112,0.196500
1543952406.348350,3950318591,-0.008317,-0.650088,-0.041269,-0.758691,-0.041048,1.415410,0.073562
1543952407.365127,3951318584,-0.070658,-0.546549,-0.105163,-0.827787,0.002026,1.167358,0.254067
1543952408.381947,3952318570,0.000854,-0.499138,0.042923,-0.865459,0.041382,1.044711,-0.075284
1543952409.398611,3953318548,0.004685,-0.583330,0.047167,-0.810851,0.047447,1.245311,-0.082141
1543952410.415292,3954318533,0.006020,-0.595825,0.039853,-0.802102,0.037843,1.276444,-0.071218
1543952411.432050,3955318519,-0.000993,-0.595877,0.033782,-0.802364,0.041865,1.276452,-0.053099
1543952412.448735,3956318505,0.003602,-0.589867,0.039818,-0.806510,0.041176,1.261545,-0.068589
1543952413.465522,3957318491,0.008213,-0.595794,0.041771,-0.802008,0.036608,1.276445,-0.076915
1543952414.482208,3958318476,0.008815,-0.604262,0.042732,-0.795590,0.037626,1.297642,-0.078784
1543952415.498899,3959318462,0.008771,-0.602257,0.042831,-0.797104,0.037615,1.292608,-0.078984
1543952416.515702,3960318448,0.008779,-0.601417,0.042762,-0.797742,0.037437,1.290506,-0.078923
1543952417.532419,3961318434,0.008796,-0.601212,0.042755,-0.797897,0.037382,1.289992,-0.078941
1543952418.549996,3962318419,0.008785,-0.601149,0.042683,-0.797948,0.037306,1.289837,-0.078816
