Time,Yaw,Pitch,Roll
[4.035, -0.000876, 0.001003]
[100.391, -3.912, -114.543, 0.0392, -0.3232, -0.364, -0.701, 8.93, 4.115, -0.001345, -0.00045]
[100.391, -3.911, -114.545, 0.0432, -0.3288, -0.36, -0.698, 8.928, 4.054, 0.002703, 0.000869]
[100.391, -3.912, -114.542, 0.0442, -0.3277, -0.3612, -0.702, 8.945, 4.023, -0.000616, 0.000987]
[100.389, -3.913, -114.542, 0.0432, -0.3232, -0.3613, -0.737, 8.94, 4.066, -0.001758, 0.000495]
[100.387, -3.913, -114.542, 0.0422, -0.3288, -0.3576, -0.716, 8.901, 4.119, 0.002661, 0.000327]
[100.389, -3.911, -114.54, 0.0424, -0.3188, -0.3603, -0.693, 8.91, 4.029, 0.0017, -0.000204]
[100.387, -3.911, -114.54, 0.0412, -0.3321, -0.3564, -0.645, 8.899, 4.074, -0.003626, 0.000262]
[100.387, -3.912, -114.542, 0.0422, -0.3288, -0.3552, -0.682, 8.903, 4.109, 2.2e-05, -0.000993]
[100.388, -3.912, -114.539, 0.0432, -0.3277, -0.3588, -0.649, 8.891, 4.046, 0.002674, -0.000955]
[100.388, -3.911, -114.54, 0.0432, -0.331, -0.3563, -0.615, 8.886, 4.027, -0.002222, 0.000172]
[100.388, -3.91, -114.542, 0.0431, -0.3299, -0.36, -0.622, 8.884, 4.066, -0.001908, -0.00077]
[100.388, -3.908, -114.54, 0.042, -0.33, -0.3674, -0.623, 8.889, 4.092, 0.001657, -0.000783]
[100.387, -3.907, -114.538, 0.0441, -0.3266, -0.3661, -0.631, 8.93, 4.038, -0.000277, 0.00034]
[100.386, -3.908, -114.54, 0.0422, -0.3254, -0.3601, -0.631, 8.904, 4.061, -0.002181, 0.001184]
[100.385, -3.907, -114.539, 0.0423, -0.3265, -0.3565, -0.666, 8.93, 4.048, -0.002216, -0.000415]
[100.383, -3.908, -114.538, 0.0432, -0.3277, -0.3613, -0.713, 8.912, 4.071, 0.001322, -0.00059]
[100.383, -3.909, -114.539, 0.0422, -0.3266, -0.3601, -0.679, 8.926, 4.058, 0.001319, 0.000397]
[100.381, -3.909, -114.537, 0.0441, -0.3288, -0.36, -0.728, 8.937, 4.043, -0.000829, 0.001391]
