Header here
1556648006.9582453: 6,-06.695,-07.132,+00.000687,-00.001298,+00.000517*60
1556648007.181942: $VNYMR,+101.404,+002.904,+043.032,-00.0990,+00.1806,+00.4086,+00.445,-06.676,-07.159,+00.001554,+00.000257,-00.000289*6A
1556648007.1859362: $VNYMR,+101.403,+002.905,+043.033,-00.1022,+00.1832,+00.4166,+00.461,-06.675,-07.152,-00.000831,-00.000261,-00.001196*6C
1556648007.1939528: $VNYMR,+101.404,+002.905,+043.033,-00.1010,+00.1856,+00.4152,+00.518,-06.692,-07.143,+00.000923,+00.000953,-00.001436*6E
1556648007.1979516: $VNYMR,+101.403,+002.905,+043.031,-00.1010,+00.1881,+00.4152,+00.525,-06.664,-07.154,-00.001078,-00.000898,+00.000728*6B
1556648007.1979516: $VNYMR,+101.
1556648007.2019439: $VNYMR,+101.402,+002.906,+043.033,-00.0998,+00.1931,+00.4138,+00.527,-06.693,-07.140,-00.000949,+00.000375,+00.000044*63
1556648007.2059097: $VNYMR,+101.402,+002.908,+043.034,-00.0987,+00.1869,+00.4194,+00.540,-06.693,-07.170,+00.002797,+00.002093,-00.000790*64
1556648007.2138996: $VNYMR,+101.400,+002.906,+043.032,-00.1010,+00.1832,+00.4180,+00.543,-06.646,-07.171,-00.000830,-00.001093,+00.002681*6F
1556648007.2179205: $VNYMR,+101.399,+002.907,+043.035,-00.1011,+00.1831,+00.4153,+00.500,-06.670,-07.160,+00.001331,-00.000022,+00.001609*65
1556648007.2218997: $VNYMR,+101.400,+002.907,+043.033,-00.0979,+00.1818,+00.4086,+00.479,-06.673,-07.159,-00.001707,-00.000582,-00.001030*64
1556648007.2298777: $VNYMR,+101.401,+002.909,+043.034,-00.1033,+00.1819,+00.4165,+00.491,-06.648,-07.148,+00.002422,+00.003566,-00.002060*61
1556648007.2339041: $VNYMR,+101.402,+002.908,+043.031,-00.1010,+00.1881,+00.4165,+00.453,-06.654,-07.174,-00.003934,-00.001748,+00.000819*6F
1556648007.2378662: $VNYMR,+101.403,+002.909,+043.032,-00.1033,+00.1832,+00.4165,+00.435,-06.661,-07.180,+00.001993,+00.000485,-00.000278*6F
1556648007.2458858: $VNYMR,+101.402,+002.909,+043.030,-00.0998,+00.1918,+00.4124,+00.431,-06.674,-07.136,-00.001971,-00.000278,-00.000845*68
1556648007.2498531: $VNYMR,+101.402,+002.910,+043.032,-00.1012,+00.1868,+00.4043,+00.450,-06.653,-07.132,+00.000600,+00.000338,+00.000254*69
1556648007.26583: $VNYMR,+101.399,+002.909,+043.030,-00.1021,+00.1807,+00.4207,+00.495,-06.665,-07.165,-00.003238,-00.001399,+00.001219*6D
1556648007.2698576: $VNYMR,+101.398,+002.910,+043.032,-00.0988,+00.1893,+00.4125,+00.483,-06.698,-07.159,+00.002206,-00.000087,+00.000202*65
1556648007.293815: $VNYMR,+101.398,+002.910,+043.029,-00.0989,+00.1818,+00.4113,+00.497,-06.677,-07.146,+00.000032,+00.000578,-00.001196*6F
1556648007.3177614: $VNYMR,+101.397,+002.909,+043.030,-00.1001,+00.1781,+00.4099,+00.534,-06.665,-07.147,-00.002540,-00.001729,+00.001307*67
1556648007.3457224: $VNYMR,+101.395,+002.909,+043.030,-00.1022,+00.1831,+00.4152,+00.539,-06.704,-07.156,+00.001031,+00.000573,+00.000732*62
1556648007.3697195: $VNYMR,+101.396,+002.910,+043.032,-00.0967,+00.1806,+00.4169,+00.563,-06.703,-07.119,+00.000454,+00.000450,-00.000171*6C
1556648007.3936603: $VNYMR,+101.394,+002.910,+043.030,-00.0999,+00.1856,+00.4153,+00.551,-06.699,-07.163,+00.000375,+00.000916,-00.000340*64
1556648007.4176536: $VNYMR,+101.393,+002.910,+043.031,-00.1000,+00.1831,+00.4126,+00.551,-06.662,-07.121,-00.003127,-00.001985,+00.001178*68
1556648007.4456165: $VNYMR,+101.393,+002.911,+043.031,-00.1009,+00.1906,+00.4151,+00.513,-06.676,-07.121,+00.003088,+00.000529,-00.000242*64
1556648007.4695766: $VNYMR,+101.392,+002.910,+043.030,-00.1009,+00.1881,+00.4179,+00.504,-06.661,-07.185,-00.000470,-00.000188,-00.001815*69
1556648007.4935591: $VNYMR,+101.391,+002.909,+043.030,-00.1000,+00.1819,+00.4126,+00.534,-06.647,-07.191,-00.002173,+00.000028,+00.000643*61
1556648007.5175235: $VNYMR,+101.391,+002.911,+043.030,-00.1012,+00.1831,+00.4098,+00.474,-06.632,-07.118,+00.001885,+00.000335,+00.002616*6B
1556648007.5454843: $VNYMR,+101.392,+002.910,+043.028,-00.1023,+00.1831,+00.4084,+00.431,-06.666,-07.176,-00.000708,-00.000629,+00.000535*64
1556648007.5694225: $VNYMR,+101.396,+002.911,+043.031,-00.0987,+00.1893,+00.4153,+00.463,-06.642,-07.132,-00.000429,+00.000531,-00.001047*66
1556648007.5934227: $VNYMR,+101.395,+002.910,+043.030,-00.0956,+00.1843,+00.4128,+00.453,-06.645,-07.152,+00.000882,+00.000015,+00.001502*60
1556648007.6173904: $VNYMR,+101.392,+002.910,+043.030,-00.0999,+00.1905,+00.4084,+00.422,-06.661,-07.125,+00.001373,+00.000219,+00.000870*63
1556648007.645322: $VNYMR,+101.390,+002.909,+043.031,-00.0989,+00.1843,+00.4085,+00.433,-06.677,-07.143,-00.001212,-00.001123,-00.001258*66
1556648007.6693199: $VNYMR,+101.390,+002.909,+043.030,-00.1000,+00.1881,+00.4098,+00.496,-06.632,-07.163,+00.000336,+00.001379,-00.000506*66
1556648007.6932874: $VNYMR,+101.393,+002.909,+043.031,-00.1000,+00.1794,+00.4181,+00.482,-06.676,-07.140,-00.000891,-00.000473,+00.000657*69
1556648007.7172546: $VNYMR,+101.392,+002.908,+043.031,-00.0999,+00.1881,+00.4166,+00.500,-06.694,-07.146,-00.000069,-00.000578,+00.000056*60
1556648007.7452154: $VNYMR,+101.392,+002.909,+043.032,-00.1000,+00.1843,+00.4126,+00.513,-06.728,-07.120,-00.000103,-00.000181,-00.001069*60
1556648007.7691844: $VNYMR,+101.392,+002.908,+043.031,-00.1000,+00.1806,+00.4167,+00.547,-06.663,-07.142,-00.000908,+00.000347,+00.000728*65
1556648007.7931259: $VNYMR,+101.392,+002.908,+043.031,-00.1000,+00.1831,+00.4112,+00.545,-06.687,-07.157,-00.001471,-00.000934,+00.001186*66
1556648007.8170962: $VNYMR,+101.391,+002.908,+043.030,-00.1045,+00.1806,+00.4097,+00.500,-06.692,-07.117,-00.000280,-00.000018,-00.001496*60
1556648007.845084: $VNYMR,+101.392,+002.908,+043.032,-00.0988,+00.1881,+00.4153,+00.533,-06.713,-07.139,+00.003483,+00.001830,-00.001573*65
1556648007.8690245: $VNYMR,+101.391,+002.907,+043.032,-00.1022,+00.1831,+00.4138,+00.549,-06.659,-07.109,-00.003773,-00.000786,+00.001762*6D
1556648007.8929932: $VNYMR,+101.390,+002.908,+043.034,-00.1011,+00.1831,+00.4166,+00.497,-06.671,-07.107,-00.001293,-00.000057,+00.001039*63
1556648007.9169612: $VNYMR,+101.389,+002.906,+043.030,-00.1009,+00.1931,+00.4151,+00.490,-06.661,-07.170,+00.000384,-00.000716,-00.001445*60
1556648007.944948: $VNYMR,+101.389,+002.907,+043.031,-00.0999,+00.1856,+00.4166,+00.496,-06.646,-07.157,+00.001401,+00.001089,-00.000532*6E
1556648007.968889: $VNYMR,+101.388,+002.907,+043.033,-00.0988,+00.1856,+00.4140,+00.483,-06.658,-07.140,+00.001466,+00.000366,+00.001174*67
1556648007.9928846: $VNYMR,+101.386,+002.908,+043.034,-00.0978,+00.1831,+00.4141,+00.437,-06.672,-07.155,+00.001252,-00.000975,-00.000331*66
1556648008.0168254: $VNYMR,+101.385,+002.907,+043.033,-00.1000,+00.1831,+00.4112,+00.428,-06.655,-07.188,+00.001707,+00.001830,-00.000841*69
1556648008.0448165: $VNYMR,+101.385,+002.905,+043.030,-00.0989,+00.1856,+00.4112,+00.472,-06.638,-07.164,-00.001728,-00.000692,+00.001844*6E
