
Time,quat 1,quat 2,quat 3,quat 4
1023741036,0.4655606746673584,0.013169903308153152,-0.8843216300010681,0.03248478099703789
3210896051,0.032383993268013,0.4655763804912567,0.013133375905454159,-0.8843174576759338
1023710846,0.4655909836292267,0.013145197182893753,-0.8843100666999817,0.032372549176216125
1023748075,0.465597927570343,0.013201257213950157,-0.8843005299568176,0.032508689910173416
1055810567,0.013231673277914524,-0.8842964768409729,0.032478246837854385,0.46560609340667725
3210895569,0.032507333904504776,0.4656178057193756,0.01325774472206831,-0.8842892646789551
1023773665,0.4656664729118347,0.013341103680431843,-0.8842588663101196,0.032603099942207336
1012574219,-0.8842604160308838,0.03257708251476288,0.46566689014434814,0.01335984468460083
1012529371,-0.8842670917510986,0.03251153230667114,0.4656587839126587,0.013302373699843884
3210895158,0.03242330625653267,0.46567100286483765,0.013268794864416122,-0.8842642903327942
3210895033,0.032394152134656906,0.46568503975868225,0.013285086490213871,-0.8842576146125793
1012533444,-0.8842654824256897,0.03238615766167641,0.46567004919052124,0.013305646367371082
3210895076,0.03233395516872406,0.4656831622123718,0.013314319774508476,-0.8842604756355286
1055813430,0.013366279192268848,-0.8842546939849854,0.032339584082365036,0.4656910300254822
3210894966,0.032440435141325,0.4656870365142822,0.013387142680585384,-0.8842533230781555
1055813741,0.013407403603196144,-0.8842464089393616,0.03241307660937309,0.46570146083831787
3210894790,0.03238676115870476,0.46570754051208496,0.013377957977354527,-0.8842446208000183
3210894799,0.0324154868721962,0.46570655703544617,0.01337240356951952,-0.8842443227767944
1023710564,0.46571218967437744,0.01330665685236454,-0.8842438459396362,0.03236937150359154
1055814290,0.013322069309651852,-0.8842419385910034,0.03233926743268967,0.4657191336154938
1023690795,0.46571066975593567,0.013310762122273445,-0.884247362613678,0.03229716047644615
1012527164,-0.8842326998710632,0.032254189252853394,0.46574267745018005,0.013300837948918343
1023685060,0.465760201215744,0.01331449206918478,-0.8842219710350037,0.0322742722928524
3210894539,0.03220086917281151,0.46575161814689636,0.013332038186490536,-0.8842288255691528
3210894398,0.0322083979845047,0.46576911211013794,0.013347540982067585,-0.8842191696166992
1012597783,-0.8842036724090576,0.0322139635682106,0.46579691767692566,0.01336601935327053
1055816771,0.01336747594177723,-0.8842061161994934,0.03222924843430519,0.465791791677475
1055816254,0.013388515450060368,-0.884213924407959,0.03223366662859917,0.4657752513885498
3210894542,0.0321967788040638,0.46575379371643066,0.013312621973454952,-0.8842282295227051
3210894624,0.032227594405412674,0.46574071049690247,0.013320541009306908,-0.884233832359314
1055815225,0.013309763744473457,-0.8842306733131409,0.03224421665072441,0.46574628353118896
1023681206,0.4657510817050934,0.013353952206671238,-0.8842267394065857,0.0322592593729496
1012557483,-0.8842211365699768,0.0322372242808342,0.46576425433158875,0.013330834917724133
3210894415,0.03226800635457039,0.465763121843338,0.013302051462233067,-0.8842208385467529
1012442975,-0.8842363357543945,0.03218841552734375,0.46574175357818604,0.013221644796431065
1023678146,0.4657125473022461,0.013223418965935707,-0.8842493295669556,0.03224708139896393
3210895140,0.0323064960539341,0.46568164229393005,0.013206729665398598,-0.8842638731002808
3210895189,0.032353825867176056,0.4656711518764496,0.013173737563192844,-0.8842681050300598
1023718278,0.46563947200775146,0.01314692571759224,-0.8842834234237671,0.032395608723163605
3210895658,0.032429229468107224,0.46561458706855774,0.01313917525112629,-0.884295642375946
1055810406,0.013114732690155506,-0.8843020796775818,0.03244189918041229,0.4656021296977997
1023738399,0.4655906856060028,0.013120083138346672,-0.8843068480491638,0.03247766196727753
1055809468,0.013135422952473164,-0.884314239025116,0.032503366470336914,0.4655756652355194
1055808841,0.013148273341357708,-0.8843225836753845,0.032539043575525284,0.4655552804470062
1055808578,0.013111998327076435,-0.8843281269073486,0.03251669555902481,0.4655457139015198
1012357032,-0.8843244314193726,0.03249586373567581,0.46555399894714355,0.013140053488314152
3210896158,0.03248650208115578,0.46555328369140625,0.013176663778722286,-0.8843252062797546
3210896322,0.03251165896654129,0.46553298830986023,0.013159645721316338,-0.8843352198600769
1055807816,0.013247434049844742,-0.8843342065811157,0.032616954296827316,0.46552538871765137
1023773340,0.4655328691005707,0.013237937353551388,-0.8843308091163635,0.0326072983443737
1055807172,0.013199766166508198,-0.8843462467193604,0.03258918225765228,0.46550577878952026
1055806631,0.01316452119499445,-0.8843560814857483,0.03256180137395859,0.4654887914657593
3210896614,0.03253963217139244,0.4654980003833771,0.013198019936680794,-0.8843521475791931
1055806692,0.013217875733971596,-0.8843550086021423,0.0325438529253006,0.46549105644226074
3210896695,0.032510168850421906,0.46549054980278015,0.013211604207754135,-0.8843569159507751
3210896573,0.03247358277440071,0.46550655364990234,0.013234484940767288,-0.8843494653701782
3210896579,0.03235034644603729,0.46551626920700073,0.013175052590668201,-0.8843498826026917
1012388644,-0.8843473196029663,0.03231789916753769,0.46552228927612305,0.013174710795283318
3210896552,0.03234210982918739,0.46551966667175293,0.013165721669793129,-0.8843483924865723
1023718340,0.4654894769191742,0.013188200071454048,-0.8843618631362915,0.03239886090159416
1023734213,0.4654836654663086,0.01318237092345953,-0.8843628168106079,0.0324578620493412
1012353958,-0.8843750357627869,0.03246680647134781,0.4654615819454193,0.013142110779881477
1055805923,0.013121523894369602,-0.8843708634376526,0.032484836876392365,0.46546968817710876
1055805782,0.01310933381319046,-0.8843716979026794,0.032522547990083694,0.46546670794487
3210897104,0.032426390796899796,0.46545305848121643,0.013053991831839085,-0.8843818306922913
1023724607,0.46544110774993896,0.013026399537920952,-0.8843889832496643,0.03242165967822075
