Time,yaw,pitch,roll,magx,magy,magz,accelx,accely,accelz,gyrox,gyroy,gyroz
0.07800006866455078,41.988,-4.48,-0.385,0.1563,-0.2142,0.3906,-0.79,0.071,-9.758,0.000978,0.000269,-0.000775
0.1550002098083496,41.997,-4.478,-0.386,0.1564,-0.2097,0.3965,-0.749,0.075,-9.798,-0.000849,0.001461,0.000272
0.25800013542175293,42.021,-4.484,-0.39,0.1564,-0.2098,0.3953,-0.715,0.063,-9.746,0.00037,-0.000929,0.000404
0.35900020599365234,42.015,-4.483,-0.389,0.1554,-0.2098,0.3929,-0.745,0.067,-9.75,0.000771,0.000734,-0.000314
0.4610002040863037,42.015,-4.483,-0.391,0.1564,-0.2087,0.3917,-0.78,0.074,-9.763,-0.000375,0.000215,0.000646
0.5710000991821289,42.014,-4.483,-0.392,0.1583,-0.213,0.3978,-0.793,0.08,-9.733,-0.000635,0.000637,0.00043
0.7260000705718994,42.009,-4.484,-0.391,0.1573,-0.2109,0.3906,-0.769,0.039,-9.728,-0.001481,0.000874,0.001269
0.8480000495910645,42.005,-4.483,-0.391,0.1583,-0.2109,0.3954,-0.723,0.028,-9.705,-0.000504,0.00035,2.8e-05
0.942000150680542,42.005,-4.482,-0.391,0.1593,-0.212,0.3955,-0.721,0.068,-9.737,0.000535,0.000175,-0.000209
1.0450000762939453,42.005,-4.48,-0.389,0.1554,-0.2119,0.3953,-0.775,0.077,-9.733,-0.000494,0.000213,0.000417
1.1140000820159912,42.0,-4.48,-0.391,0.1573,-0.2076,0.3906,-0.793,0.067,-9.766,-0.000265,-0.000535,0.000591
1.2160000801086426,41.999,-4.481,-0.389,0.1575,-0.2032,0.3929,-0.805,0.065,-9.709,0.000959,-0.000224,-0.000304
1.318000078201294,41.998,-4.482,-0.388,0.1583,-0.2087,0.393,-0.778,0.087,-9.735,-0.000224,-0.000493,0.000483
1.434000015258789,41.996,-4.48,-0.388,0.1584,-0.2087,0.3966,-0.753,0.071,-9.713,-0.000967,0.000874,-0.000327
1.5340001583099365,41.997,-4.481,-0.387,0.1574,-0.2108,0.4001,-0.738,0.063,-9.732,0.001483,-0.000181,-0.000625
1.6850001811981201,41.997,-4.479,-0.388,0.1564,-0.2097,0.3977,-0.77,0.097,-9.728,-0.000296,-0.001092,0.000102
1.8320000171661377,41.998,-4.48,-0.388,0.1584,-0.2065,0.3942,-0.789,0.084,-9.754,0.000251,-0.000584,6.6e-05
1.9140000343322754,41.997,-4.48,-0.389,0.1564,-0.2109,0.3941,-0.787,0.038,-9.75,0.000531,0.000123,0.000709
2.0190000534057617,41.994,-4.481,-0.389,0.1574,-0.2109,0.3954,-0.832,0.076,-9.774,0.001757,0.001765,0.001068
2.1550002098083496,41.992,-4.477,-0.389,0.1565,-0.2054,0.394,-0.662,0.085,-9.754,-0.00021,0.000494,0.001544
2.328000068664551,41.991,-4.48,-0.389,0.1574,-0.2065,0.3917,-0.794,0.095,-9.723,8.9e-05,0.001291,0.000477
2.4639999866485596,41.988,-4.481,-0.388,0.1593,-0.2109,0.3967,-0.818,0.072,-9.706,0.000408,-0.002392,-0.000327
2.5810000896453857,41.985,-4.482,-0.388,0.1573,-0.213,0.3966,-0.787,0.057,-9.767,-0.00079,0.000327,-0.000377
2.7170000076293945,41.989,-4.48,-0.389,0.1584,-0.2054,0.3918,-0.652,0.135,-9.753,0.001521,0.001311,-0.000727
2.8450000286102295,41.984,-4.478,-0.389,0.1564,-0.2119,0.3965,-0.731,0.061,-9.738,-0.000725,-0.000815,0.000373
2.949000120162964,41.99,-4.478,-0.39,0.1604,-0.2065,0.399,-0.786,0.066,-9.776,0.001171,-2.1e-05,0.000613
3.0490000247955322,41.988,-4.478,-0.391,0.1584,-0.2033,0.3929,-0.783,0.041,-9.727,0.000999,-0.002605,-0.000391
3.205000162124634,41.986,-4.479,-0.393,0.1583,-0.2098,0.3906,-0.708,0.048,-9.728,-0.000664,-0.000816,-0.000733
3.319000005722046,41.983,-4.479,-0.393,0.1564,-0.2087,0.3929,-0.71,0.053,-9.696,0.000665,-6.1e-05,-0.000288
3.4150002002716064,41.98,-4.478,-0.392,0.1564,-0.2109,0.3941,-0.715,0.045,-9.726,0.002524,0.001897,-0.000967
3.5220000743865967,41.978,-4.479,-0.388,0.1584,-0.2076,0.393,-0.782,0.059,-9.728,-0.000507,-0.001254,0.000109
3.68500018119812,41.981,-4.48,-0.392,0.1593,-0.2098,0.3978,-0.84,0.102,-9.751,0.001599,-0.001087,-0.000391
3.823000192642212,41.979,-4.482,-0.39,0.1583,-0.2098,0.3942,-0.774,0.005,-9.758,-0.003713,0.002564,-0.000426
3.9260001182556152,41.982,-4.483,-0.393,0.1544,-0.2098,0.3928,-0.742,0.12,-9.751,-0.000636,-0.000174,0.001281
4.0350000858306885,41.979,-4.484,-0.391,0.1583,-0.2098,0.3954,-0.715,0.029,-9.767,8.9e-05,-0.00209,0.000375
4.134000062942505,41.983,-4.486,-0.393,0.1573,-0.2119,0.3954,-0.762,0.048,-9.785,0.000991,-0.000591,-0.000628
4.251000165939331,41.988,-4.486,-0.394,0.1565,-0.2076,0.3989,-0.755,0.136,-9.729,0.000154,-0.000358,0.000248
4.403000116348267,41.986,-4.489,-0.395,0.1564,-0.2108,0.3953,-0.816,0.081,-9.735,0.000542,5e-05,-0.001374
4.5350000858306885,41.99,-4.485,-0.396,0.1574,-0.2065,0.3953,-0.68,0.107,-9.766,-0.000407,0.001568,-0.000831
4.644999980926514,41.991,-4.484,-0.395,0.1574,-0.2097,0.3989,-0.739,0.047,-9.701,0.000445,-0.000542,0.000364
4.764000177383423,41.992,-4.484,-0.396,0.1562,-0.2152,0.3906,-0.816,0.119,-9.736,-0.001671,-0.000298,-8.9e-05
4.877000093460083,41.989,-4.484,-0.396,0.1583,-0.2109,0.3907,-0.845,0.116,-9.756,-0.000309,0.000302,-0.000551
